,Sample,maxVal,correct,predictedCluster,trueCluster
0,DLBCL_LS2595,0.24763739109039307,True,1,1
1,DLBCL_RICOVER_1081,0.3254404366016388,False,3,5
2,DLBCL_C_D_1138_NULLPAIR,0.3359437584877014,True,5,5
3,DLBCL_MC_F089_MLB,0.36100760102272034,True,4,4
4,DLBCL_RICOVER_274,0.37297558784484863,False,3,5
5,DLBCL_RICOVER_1278,0.3818005919456482,True,4,4
6,DLBCL_LS2154,0.383881539106369,False,5,1
7,DLBCL_LS4054,0.383881539106369,False,5,3
8,DLBCL_MC_F210_GWC,0.3896294832229614,False,5,3
9,DLBCL_RICOVER_120,0.4063819646835327,True,1,1
10,DLBCL_LS3749,0.4139173626899719,False,5,3
11,DLBCL_C_D_1152_NULLPAIR,0.4143992066383362,False,2,3
12,DLBCL_RICOVER_543,0.42835134267807007,True,4,4
13,DLBCL_RICOVER_583,0.42835134267807007,True,4,4
14,DLBCL_RICOVER_473,0.43173110485076904,False,4,1
15,DLBCL_C_D_1142_NULLPAIR,0.4330194890499115,False,3,4
16,DLBCL_LS2208,0.43347927927970886,True,4,4
17,DLBCL_RICOVER_216,0.43347927927970886,False,4,2
18,DLBCL_MC_F927_JHS,0.43347927927970886,False,4,2
19,DLBCL_RICOVER_1287,0.43347927927970886,True,4,4
20,DLBCL_C_D_1111_NULLPAIR,0.43347927927970886,False,4,3
21,DLBCL_LS2264,0.43351441621780396,True,5,5
22,DLBCL_RICOVER_105,0.44038742780685425,True,4,4
23,DLBCL_RICOVER_197,0.440987765789032,False,5,2
24,DLBCL_RICOVER_431,0.4504093527793884,True,4,4
25,DLBCL_C_D_1105_NULLPAIR,0.45054247975349426,True,4,4
26,DLBCL_RICOVER_623,0.45332467555999756,False,5,3
27,DLBCL_RICOVER_1190,0.45722630620002747,False,1,4
28,DLBCL_RICOVER_1248,0.46605804562568665,False,1,4
29,DLBCL_LS88,0.46760568022727966,True,3,3
30,DLBCL_BWH_DLBCL64,0.47130975127220154,True,1,1
31,DLBCL_C_D_1118_NULLPAIR,0.4797886312007904,False,1,3
32,DLBCL_C_D_1112_NULLPAIR,0.4836643934249878,True,1,1
33,DLBCL_RICOVER_1299,0.49093785881996155,False,4,5
34,DLBCL_LS3615,0.5002911686897278,True,2,2
35,DLBCL_RICOVER_320,0.5002911686897278,True,2,2
36,DLBCL_RICOVER_342,0.502770185470581,True,5,5
37,DLBCL_MC_F139_AD,0.5120012164115906,True,1,1
38,DLBCL_RICOVER_829,0.5186553001403809,True,1,1
39,DLBCL_LS2599,0.5189762115478516,True,2,2
40,DLBCL_LS3866,0.5190367102622986,False,5,1
41,DLBCL_RICOVER_1046,0.5242722630500793,True,2,2
42,DLBCL_LS2089,0.5260530114173889,False,4,3
43,DLBCL_DFCI_DLBCL_GOE07,0.5286432504653931,False,4,3
44,DLBCL_LS2367,0.5335884094238281,True,1,1
45,DLBCL_RICOVER_467,0.5369659066200256,True,4,4
46,DLBCL_LS762,0.5400822758674622,False,3,2
47,DLBCL_MC_F815_BAT,0.5424342155456543,False,5,2
48,DLBCL_C_D_1104_NULLPAIR,0.5459299087524414,False,3,4
49,DLBCL_MC_F959_ERM,0.5459762215614319,True,3,3
50,DFCIDL003_DT,0.5521690845489502,False,2,3
51,DLBCL_C_D_1135_NULLPAIR,0.5536447167396545,True,3,3
52,DLBCL_LS1395,0.555476188659668,False,3,2
53,DLBCL_RICOVER_1060,0.5583487153053284,False,1,3
54,DLBCL_MC_F089_HCZ,0.5608314275741577,False,2,3
55,DLBCL_C_D_1146_NULLPAIR,0.5635363459587097,True,1,1
56,DLBCL_RICOVER_478,0.5664256811141968,False,4,1
57,DLBCL_RICOVER_910,0.5712288618087769,False,4,1
58,DLBCL_LS3309,0.5729093551635742,False,2,3
59,DLBCL_RICOVER_1169,0.5783785581588745,False,4,3
60,DLBCL_RICOVER_780,0.5814423561096191,False,2,3
61,DLBCL_RICOVER_866,0.5824731588363647,True,5,5
62,DLBCL_LS3499,0.5832663774490356,True,5,5
63,DLBCL_RICOVER_102,0.583547055721283,True,5,5
64,DLBCL_MAYO_DLBCL_3653,0.5867326259613037,False,4,5
65,DLBCL_RICOVER_585,0.5889915227890015,True,4,4
66,DLBCL_LS1668,0.601805567741394,True,3,3
67,DLBCL_MC_F339_JPS2,0.6056525111198425,False,1,4
68,DLBCL_C_D_1155_NULLPAIR,0.6154832243919373,True,1,1
69,DLBCL_C_D_1153_NULLPAIR,0.6163254976272583,True,5,5
70,DLBCL_LS2328,0.6181625127792358,False,2,3
71,DLBCL_MC_F648_JKW,0.6198475956916809,False,3,1
72,DLBCL_LS155,0.6274733543395996,True,2,2
73,DLBCL_LS1921,0.6358710527420044,False,5,3
74,DLBCL_RICOVER_1165,0.6388893127441406,True,3,3
75,DLBCL_MAYO_DLBCL_234,0.6411225199699402,False,4,2
76,DLBCL_C_D_1132_NULLPAIR,0.6431125998497009,False,5,1
77,DLBCL_RICOVER_126,0.6553401350975037,False,2,3
78,DLBCL_RICOVER_711,0.6553971171379089,False,1,5
79,DLBCL_RICOVER_1235,0.6680770516395569,False,2,3
80,DLBCL_RICOVER_408,0.6740816831588745,True,5,5
81,DLBCL_LS1620,0.6776027679443359,True,2,2
82,DLBCL_LS3387,0.6845701336860657,True,5,5
83,DLBCL_C_D_1148_NULLPAIR,0.6852684617042542,True,5,5
84,DLBCL_C_D_1131_NULLPAIR,0.6877388954162598,False,4,3
85,DLBCL_C_D_1127_NULLPAIR,0.689239501953125,True,2,2
86,DLBCL_C_D_1151_NULLPAIR,0.6930499076843262,True,5,5
87,DLBCL_C_D_1109_NULLPAIR,0.6932411789894104,False,1,5
88,DLBCL_RICOVER_1144,0.696124255657196,True,1,1
89,DLBCL_C_D_1120_NULLPAIR,0.6965222358703613,True,4,4
90,DLBCL_RICOVER_617,0.6974584460258484,True,5,5
91,DLBCL_LS4085,0.702160656452179,True,4,4
92,DLBCL_C_D_1162_NULLPAIR,0.7023261189460754,True,2,2
93,DFCIDL008_DT,0.7050738334655762,True,4,4
94,DLBCL_LS4616,0.7081692218780518,True,2,2
95,DLBCL_RICOVER_577,0.7087442874908447,True,2,2
96,DLBCL_RICOVER_440,0.7193697094917297,True,2,2
97,DLBCL_RICOVER_763,0.7238559722900391,True,4,4
98,DLBCL_MC_F344_CJS,0.7290785908699036,True,2,2
99,DLBCL_C_D_1166_NULLPAIR,0.7349333763122559,True,4,4
100,DLBCL_LS3808,0.7414374351501465,True,5,5
101,DLBCL_DFCI_DLBCL_GOE08,0.7419100403785706,False,1,5
102,DLBCL_RICOVER_533,0.7518371939659119,False,5,3
103,DLBCL_RICOVER_678,0.7540518641471863,True,3,3
104,DLBCL_MC_F739_AMA3,0.7548165321350098,False,2,3
105,DFCIDL004_DT,0.7553779482841492,False,4,1
106,DLBCL_RICOVER_704,0.7580584287643433,True,4,4
107,DLBCL_RICOVER_111,0.7588330507278442,True,2,2
108,DLBCL_C_D_1154_NULLPAIR,0.7614738941192627,True,1,1
109,DLBCL_MC_F519_ALT,0.7625164985656738,True,4,4
110,DLBCL_C_D_1141_NULLPAIR,0.7626258134841919,True,2,2
111,DLBCL_RICOVER_338,0.7681490778923035,True,5,5
112,DLBCL_RICOVER_288,0.772358238697052,True,3,3
113,DLBCL_C_D_1113_NULLPAIR,0.7750316262245178,True,2,2
114,DLBCL_C_D_1110_NULLPAIR,0.7779932618141174,True,2,2
115,DLBCL_MC_F362_MJB1,0.7786802649497986,True,2,2
116,DLBCL_RICOVER_787,0.7788827419281006,False,5,3
117,DLBCL_RICOVER_1106,0.7798981666564941,True,4,4
118,DLBCL_LS4593,0.7843000292778015,True,2,2
