"Sample","maxVal","correct","predictedCluster","trueCluster"
"dlbcl_ls4054","DLBCL_LS4054",0.275365442037582,FALSE,4,3
"dlbcl_ls2595","DLBCL_LS2595",0.342334002256393,TRUE,1,1
"dlbcl_c_d_1111_nullpair","DLBCL_C_D_1111_NULLPAIR",0.350764274597168,TRUE,3,3
"dlbcl_ricover_910","DLBCL_RICOVER_910",0.355756044387817,FALSE,5,1
"dlbcl_ls2264","DLBCL_LS2264",0.367876559495926,FALSE,4,5
"dlbcl_mc_f927_jhs","DLBCL_MC_F927_JHS",0.407533198595047,FALSE,3,2
"dlbcl_ricover_829","DLBCL_RICOVER_829",0.4117830991745,TRUE,1,1
"dlbcl_c_d_1138_nullpair","DLBCL_C_D_1138_NULLPAIR",0.416728585958481,FALSE,4,5
"dlbcl_ls1668","DLBCL_LS1668",0.435178250074387,TRUE,3,3
"dlbcl_mayo_dlbcl_3653","DLBCL_MAYO_DLBCL_3653",0.446326583623886,FALSE,4,5
"dlbcl_c_d_1146_nullpair","DLBCL_C_D_1146_NULLPAIR",0.447211265563965,FALSE,5,1
"dlbcl_ricover_787","DLBCL_RICOVER_787",0.447866678237915,FALSE,2,3
"dlbcl_c_d_1154_nullpair","DLBCL_C_D_1154_NULLPAIR",0.459021300077438,TRUE,1,1
"dlbcl_dfci_dlbcl_goe05","DLBCL_DFCI_DLBCL_GOE05",0.47047546505928,TRUE,3,3
"dlbcl_ricover_197","DLBCL_RICOVER_197",0.472748339176178,FALSE,5,2
"dlbcl_ricover_1165","DLBCL_RICOVER_1165",0.475147545337677,FALSE,4,3
"dlbcl_c_d_1132_nullpair","DLBCL_C_D_1132_NULLPAIR",0.477679073810577,FALSE,5,1
"dlbcl_ricover_431","DLBCL_RICOVER_431",0.494658201932907,FALSE,5,4
"dlbcl_c_d_1153_nullpair","DLBCL_C_D_1153_NULLPAIR",0.500868141651154,TRUE,5,5
"dlbcl_ricover_342","DLBCL_RICOVER_342",0.50361305475235,TRUE,5,5
"dlbcl_ricover_105","DLBCL_RICOVER_105",0.50992476940155,FALSE,3,4
"dlbcl_ricover_1018","DLBCL_RICOVER_1018",0.514414429664612,TRUE,5,5
"dlbcl_ls2367","DLBCL_LS2367",0.525109112262726,TRUE,1,1
"dlbcl_ricover_1060","DLBCL_RICOVER_1060",0.526112258434296,TRUE,3,3
"dlbcl_mayo_dlbcl_234","DLBCL_MAYO_DLBCL_234",0.540314137935638,FALSE,5,2
"dlbcl_ls2154","DLBCL_LS2154",0.563289821147919,FALSE,5,1
"dlbcl_c_d_1106_nullpair","DLBCL_C_D_1106_NULLPAIR",0.566063523292542,FALSE,3,1
"dlbcl_ls3387","DLBCL_LS3387",0.576741635799408,TRUE,5,5
"dlbcl_ricover_408","DLBCL_RICOVER_408",0.583463907241821,FALSE,3,5
"dlbcl_ricover_473","DLBCL_RICOVER_473",0.585386753082275,FALSE,4,1
"dlbcl_ricover_320","DLBCL_RICOVER_320",0.594133079051971,TRUE,2,2
"dlbcl_ricover_826","DLBCL_RICOVER_826",0.599267244338989,TRUE,1,1
"dlbcl_ls155","DLBCL_LS155",0.599510014057159,FALSE,5,2
"dlbcl_mc_f362_mjb1","DLBCL_MC_F362_MJB1",0.60441529750824,FALSE,3,2
"dlbcl_ricover_1190","DLBCL_RICOVER_1190",0.613940417766571,FALSE,1,4
"dlbcl_ricover_763","DLBCL_RICOVER_763",0.614684343338013,FALSE,3,4
"dlbcl_ricover_575","DLBCL_RICOVER_575",0.623546481132507,TRUE,1,1
