"Sample","maxVal","correct","predictedCluster","trueCluster"
"dlbcl_ls4054","DLBCL_LS4054",0.302784651517868,FALSE,5,3
"dlbcl_mayo_dlbcl_234","DLBCL_MAYO_DLBCL_234",0.31033980846405,TRUE,2,2
"dlbcl_ricover_910","DLBCL_RICOVER_910",0.337434142827988,FALSE,5,1
"dlbcl_mc_f959_erm","DLBCL_MC_F959_ERM",0.34268581867218,TRUE,3,3
"dlbcl_ricover_197","DLBCL_RICOVER_197",0.349864035844803,TRUE,2,2
"dlbcl_ls4619","DLBCL_LS4619",0.354921191930771,TRUE,2,2
"dlbcl_ricover_787","DLBCL_RICOVER_787",0.38691845536232,FALSE,2,3
"dlbcl_ricover_408","DLBCL_RICOVER_408",0.434688478708267,FALSE,2,5
"dlbcl_ricover_763","DLBCL_RICOVER_763",0.440465152263641,FALSE,3,4
"dlbcl_c_d_1112_nullpair","DLBCL_C_D_1112_NULLPAIR",0.452838540077209,TRUE,1,1
"dlbcl_ls1921","DLBCL_LS1921",0.459664523601532,TRUE,3,3
"dlbcl_ricover_181","DLBCL_RICOVER_181",0.460638970136642,TRUE,1,1
"dlbcl_c_d_1146_nullpair","DLBCL_C_D_1146_NULLPAIR",0.464823782444,FALSE,5,1
"dlbcl_c_d_1106_nullpair","DLBCL_C_D_1106_NULLPAIR",0.464980721473694,FALSE,3,1
"dlbcl_ricover_111","DLBCL_RICOVER_111",0.466223746538162,TRUE,2,2
"dlbcl_ricover_1169","DLBCL_RICOVER_1169",0.470422208309174,TRUE,3,3
"dlbcl_ricover_1165","DLBCL_RICOVER_1165",0.471394598484039,FALSE,2,3
"dlbcl_c_d_1135_nullpair","DLBCL_C_D_1135_NULLPAIR",0.476355612277985,TRUE,3,3
"dlbcl_mc_f927_jhs","DLBCL_MC_F927_JHS",0.476532757282257,TRUE,2,2
"dlbcl_mc_f648_jkw","DLBCL_MC_F648_JKW",0.478841364383698,TRUE,1,1
"dlbcl_ricover_623","DLBCL_RICOVER_623",0.481622934341431,FALSE,2,3
"dlbcl_c_d_1131_nullpair","DLBCL_C_D_1131_NULLPAIR",0.484840512275696,TRUE,3,3
"dlbcl_ricover_320","DLBCL_RICOVER_320",0.489958971738815,FALSE,3,2
"dlbcl_ricover_826","DLBCL_RICOVER_826",0.496739357709885,TRUE,1,1
