Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_ricover_711,0.358063373712101,FALSE,1,5
dlbcl_ricover_181,0.391757899190346,TRUE,1,1
dlbcl_c_d_1154_nullpair,0.4332466336841,TRUE,1,1
dlbcl_ricover_826,0.441940445976731,TRUE,1,1
dlbcl_bwh_dlbcl64,0.487108087528175,TRUE,1,1
dlbcl_c_d_1148_nullpair,0.502062704546751,FALSE,1,5
dlbcl_ricover_120,0.504867267866028,TRUE,1,1
dlbcl_ls3809,0.509973083917232,TRUE,1,1
dlbcl_ricover_473,0.53209357898832,TRUE,1,1
dlbcl_ls2978,0.53555031808285,TRUE,1,1
dlbcl_mc_f139_ad,0.561731783154067,TRUE,1,1
dlbcl_ricover_829,0.561947942898636,TRUE,1,1
dlbcl_ricover_865,0.580022432773181,TRUE,1,1
dlbcl_ricover_1190,0.580532922137171,FALSE,1,4
dlbcl_ricover_1150,0.640492156147645,TRUE,1,1
dlbcl_c_d_1106_nullpair,0.69391070400372,TRUE,1,1
dfcidl001_dt,0.699975011259723,TRUE,1,1
dlbcl_c_d_1118_nullpair,0.72484123033848,FALSE,1,3
dlbcl_mc_f648_jkw,0.737739825681854,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.761508315342661,TRUE,1,1
dlbcl_ricover_1144,0.780936726572568,TRUE,1,1
dlbcl_ls2595,0.790142436806646,TRUE,1,1
dlbcl_mc_f132_mlm,0.830917419007108,TRUE,1,1
dlbcl_ls378,0.840682785854157,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.878336702231148,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.919805364199075,TRUE,1,1
dlbcl_ls1757,0.966017686066158,TRUE,1,1
dlbcl_c_d_1114_nullpair,0.966916074630248,TRUE,1,1
dfcidl010_dt,0.977148387895612,TRUE,1,1
dlbcl_ricover_290,0.989236376935136,TRUE,1,1
dlbcl_c_d_1128_nullpair,0.999995067525984,TRUE,1,1
dlbcl_mayo_dlbcl_5613,1,TRUE,1,1
dlbcl_ricover_694,1,TRUE,1,1
dlbcl_c_d_1138_nullpair,0.312419785270232,FALSE,2,5
dlbcl_ls1921,0.353824071476082,FALSE,2,3
dlbcl_ricover_1081,0.362088590967824,FALSE,2,5
