Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_ricover_181,0.352456133885808,TRUE,1,1
dlbcl_ricover_1081,0.424234926319334,FALSE,1,5
dlbcl_ricover_826,0.454278179400883,TRUE,1,1
dlbcl_ricover_1144,0.497952634301728,TRUE,1,1
dlbcl_c_d_1132_nullpair,0.505350875419095,TRUE,1,1
dlbcl_c_d_1110_nullpair,0.514625308885773,FALSE,1,2
dlbcl_c_d_1154_nullpair,0.515609696918062,TRUE,1,1
dfcidl001_dt,0.522813675218518,TRUE,1,1
dlbcl_mc_f132_mlm,0.550425881369027,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.551901006044505,TRUE,1,1
dlbcl_ricover_120,0.555689299675909,TRUE,1,1
dlbcl_c_d_1114_nullpair,0.587874768683058,TRUE,1,1
dlbcl_c_d_1105_nullpair,0.594569379127347,FALSE,1,4
dlbcl_c_d_1106_nullpair,0.617280369669167,TRUE,1,1
dlbcl_ricover_978,0.653172741015641,FALSE,1,2
dlbcl_ricover_829,0.674118300146405,TRUE,1,1
dlbcl_ricover_865,0.692137655364348,TRUE,1,1
dlbcl_ls2978,0.694824438563152,TRUE,1,1
dlbcl_ls1757,0.707397584747489,TRUE,1,1
dfcidl010_dt,0.752020415884333,TRUE,1,1
dlbcl_ricover_575,0.768372612067917,TRUE,1,1
dfcidl004_dt,0.768480182074288,TRUE,1,1
dlbcl_mayo_dlbcl_5613,0.771959526057262,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.818062544898272,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.836768708050147,TRUE,1,1
dlbcl_ricover_473,0.850463148917968,TRUE,1,1
dlbcl_ls378,0.875698371222484,TRUE,1,1
dlbcl_ls2595,1,TRUE,1,1
dlbcl_c_d_1128_nullpair,1,TRUE,1,1
dlbcl_ricover_290,1,TRUE,1,1
dlbcl_c_d_1112_nullpair,0.336148610186179,FALSE,2,1
dlbcl_ricover_269,0.339509199772527,TRUE,2,2
dfcidl008_dt,0.449161256948252,FALSE,2,4
dlbcl_ls2245,0.461886442788782,TRUE,2,2
dlbcl_ls2328,0.464233227760379,FALSE,2,3
dlbcl_mc_f362_mjb1,0.475637574597533,TRUE,2,2
dlbcl_ls4593,0.511039556853695,TRUE,2,2
dlbcl_ricover_1210,0.512892017588714,FALSE,2,3
dlbcl_ricover_866,0.513002055184758,FALSE,2,5
dfcidl009_dt,0.544329831873426,TRUE,2,2
dlbcl_ls2599,0.572033826458232,TRUE,2,2
dlbcl_ricover_111,0.613403962184978,TRUE,2,2
dlbcl_c_d_1162_nullpair,0.662303945652237,TRUE,2,2
dlbcl_ricover_469,0.675220221097635,TRUE,2,2
dlbcl_ls1098,0.69767927238104,TRUE,2,2
dlbcl_ricover_384,0.710045476482548,TRUE,2,2
dlbcl_c_d_1141_nullpair,0.715032891322271,TRUE,2,2
dlbcl_mc_f344_cjs,0.717094922907618,TRUE,2,2
dlbcl_ricover_577,0.720184976721489,TRUE,2,2
dlbcl_ls4616,0.733279663773677,TRUE,2,2
dlbcl_ls2305,0.736869079286025,TRUE,2,2
dlbcl_ls1395,0.766011873486278,TRUE,2,2
dlbcl_ls297,0.771452118549222,TRUE,2,2
dlbcl_mc_f358_wds,0.848278411537911,TRUE,2,2
dlbcl_ricover_463,0.869254782649497,TRUE,2,2
dlbcl_ls843,0.96172998480054,TRUE,2,2
dlbcl_ls3615,0.999999192065952,TRUE,2,2
dlbcl_c_d_1113_nullpair,1,TRUE,2,2
dlbcl_c_d_1127_nullpair,1,TRUE,2,2
dlbcl_ls1620,1,TRUE,2,2
dlbcl_ls1668,0.423923828578058,TRUE,3,3
dlbcl_ls4619,0.432096538886059,FALSE,3,2
dlbcl_ricover_787,0.474502446896359,TRUE,3,3
dlbcl_ls2325,0.475294271888759,FALSE,3,2
dlbcl_c_d_1135_nullpair,0.493812397912056,TRUE,3,3
dlbcl_ricover_506,0.502377067437785,FALSE,3,4
dlbcl_ls3204,0.510530046493467,TRUE,3,3
dlbcl_ricover_780,0.517572435604255,TRUE,3,3
dlbcl_ricover_1165,0.527847195074913,TRUE,3,3
dlbcl_ls4054,0.542513701594019,TRUE,3,3
dlbcl_ricover_408,0.551441481652532,FALSE,3,5
dlbcl_mc_f990_mna,0.57597398163014,TRUE,3,3
dlbcl_mc_f210_gwc,0.614380317241925,TRUE,3,3
dlbcl_mc_f739_ama3,0.614704201307837,TRUE,3,3
dlbcl_ricover_440,0.633887898627337,FALSE,3,2
dlbcl_c_d_1131_nullpair,0.663607710735078,TRUE,3,3
dlbcl_ricover_320,0.665200481612341,FALSE,3,2
dlbcl_mc_f606_dmj,0.690586998306747,FALSE,3,2
dlbcl_ricover_335,0.726115739766331,TRUE,3,3
dlbcl_ricover_1046,0.731360739853458,FALSE,3,2
dlbcl_ricover_1072,0.733674987304973,TRUE,3,3
dlbcl_ls1921,0.740695510805701,TRUE,3,3
dlbcl_ricover_1235,0.746075780136482,TRUE,3,3
dlbcl_mayo_dlbcl_7359,0.75969109166843,TRUE,3,3
dlbcl_ricover_533,0.772567042712171,TRUE,3,3
dlbcl_mc_f089_hcz,0.776222421643825,TRUE,3,3
dlbcl_dfci_dlbcl_goe07,0.786292759312712,TRUE,3,3
dlbcl_ls88,0.805494591233981,TRUE,3,3
dlbcl_ricover_299,0.811498680720413,TRUE,3,3
dlbcl_ricover_623,0.813776977283975,TRUE,3,3
dlbcl_ls3309,0.849385905476684,TRUE,3,3
dlbcl_ls146,0.857926273278858,TRUE,3,3
dlbcl_ricover_839,0.885999345717534,TRUE,3,3
dlbcl_ricover_174,0.911979672849719,TRUE,3,3
dlbcl_ricover_126,0.939852025538056,TRUE,3,3
dfcidl003_dt,0.940636399092888,TRUE,3,3
dlbcl_ls3749,0.967967754529568,TRUE,3,3
dlbcl_ricover_288,0.969507165527409,TRUE,3,3
dlbcl_c_d_1152_nullpair,0.996787119293733,TRUE,3,3
dlbcl_mc_f729_man,0.999977519651537,TRUE,3,3
dlbcl_ricover_208,0.999996990908051,FALSE,3,2
dlbcl_c_d_1118_nullpair,0.999999429578123,TRUE,3,3
dlbcl_mc_f927_jhs,1,FALSE,3,2
dlbcl_ricover_253,1,TRUE,3,3
dlbcl_ricover_325,1,TRUE,3,3
dlbcl_c_d_1111_nullpair,1,TRUE,3,3
dlbcl_ls2258,1,TRUE,3,3
dlbcl_ricover_1169,1,TRUE,3,3
dlbcl_ls2367,0.334557697989747,FALSE,4,1
dlbcl_c_d_1138_nullpair,0.402084113465957,FALSE,4,5
dlbcl_ricover_1150,0.411252646714234,FALSE,4,1
dlbcl_ricover_822,0.471285008138715,FALSE,4,3
dlbcl_ls762,0.475420458047892,FALSE,4,2
dlbcl_ricover_1060,0.488137197205287,FALSE,4,3
dlbcl_ricover_105,0.515808588451789,TRUE,4,4
dlbcl_ricover_678,0.524784700071179,FALSE,4,3
dlbcl_ls2089,0.53543736392474,FALSE,4,3
dlbcl_ricover_431,0.536425296518263,TRUE,4,4
dlbcl_ricover_1204,0.548746395901652,TRUE,4,4
dlbcl_ricover_763,0.554548067100277,TRUE,4,4
dlbcl_mc_f959_erm,0.558761782249845,FALSE,4,3
dlbcl_c_d_1108_nullpair,0.600289657139385,FALSE,4,3
dlbcl_ricover_478,0.61178893912329,FALSE,4,1
dlbcl_ricover_1032,0.619030316795795,TRUE,4,4
dlbcl_c_d_1163_nullpair,0.666747627919397,TRUE,4,4
dlbcl_ricover_850,0.670676162584731,TRUE,4,4
dlbcl_c_d_1120_nullpair,0.703083681652088,TRUE,4,4
dlbcl_ls3809,0.721137023450729,FALSE,4,1
dlbcl_ls1683,0.723912062510425,TRUE,4,4
dlbcl_dfci_dlbcl_goe05,0.728598861727887,FALSE,4,3
dlbcl_ricover_773,0.748399876260831,TRUE,4,4
dlbcl_ls4085,0.754878079062786,TRUE,4,4
dlbcl_mc_f089_mlb,0.775832914215956,TRUE,4,4
dlbcl_ricover_583,0.779994173138238,TRUE,4,4
dlbcl_ricover_1106,0.797233976604391,TRUE,4,4
dlbcl_ricover_685,0.802328253732818,TRUE,4,4
dlbcl_ricover_1190,0.820604580163906,TRUE,4,4
dlbcl_c_d_1144_nullpair,0.821130246408133,TRUE,4,4
dlbcl_ricover_467,0.845477603037094,TRUE,4,4
dlbcl_ls148,0.851324515235593,TRUE,4,4
dlbcl_mc_f339_jps2,0.867222963190765,TRUE,4,4
dlbcl_c_d_1142_nullpair,0.872334981683813,TRUE,4,4
dlbcl_c_d_1104_nullpair,0.889458572747017,TRUE,4,4
dlbcl_ricover_173,0.889531230184282,TRUE,4,4
dlbcl_ricover_712,0.902780512067312,TRUE,4,4
dlbcl_ricover_1257,0.909640177709238,TRUE,4,4
dlbcl_ls2208,0.916355328627272,TRUE,4,4
dlbcl_ricover_134,0.939392680382995,TRUE,4,4
dlbcl_ricover_585,0.943094571317193,TRUE,4,4
dlbcl_ricover_720,0.958060094623247,TRUE,4,4
dlbcl_ricover_1293,0.964929934662003,TRUE,4,4
dlbcl_ricover_417,0.968671268707202,TRUE,4,4
dlbcl_ricover_1248,0.975455056462959,TRUE,4,4
dlbcl_ricover_224,0.977714761756195,TRUE,4,4
dlbcl_ricover_543,0.998360643062299,TRUE,4,4
dlbcl_ricover_1287,0.999999908832569,TRUE,4,4
dlbcl_c_d_1140_nullpair,1,TRUE,4,4
dlbcl_mc_f519_alt,1,TRUE,4,4
dlbcl_c_d_1125_nullpair,1,TRUE,4,4
dlbcl_ricover_216,1,FALSE,4,2
dlbcl_c_d_1166_nullpair,1,TRUE,4,4
dlbcl_ls1304,1,TRUE,4,4
dlbcl_ricover_215,1,TRUE,4,4
dlbcl_ricover_704,1,TRUE,4,4
dlbcl_ricover_99,1,TRUE,4,4
dlbcl_mayo_dlbcl_234,0.335456027959895,FALSE,5,2
