Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_ricover_910,0.2284,FALSE,5,1
dlbcl_ls2595,0.297,FALSE,4,1
dlbcl_ricover_826,0.3148,TRUE,1,1
dlbcl_c_d_1106_nullpair,0.332,TRUE,1,1
dfcidl004_dt,0.336,TRUE,1,1
dlbcl_ls2154,0.3362,FALSE,4,1
dlbcl_ricover_865,0.3492,FALSE,4,1
dlbcl_bwh_dlbcl64,0.3494,TRUE,1,1
dlbcl_c_d_1112_nullpair,0.3626,FALSE,4,1
dlbcl_c_d_1132_nullpair,0.3676,FALSE,5,1
dlbcl_ls2367,0.379,TRUE,1,1
dlbcl_c_d_1154_nullpair,0.3882,TRUE,1,1
dlbcl_c_d_1146_nullpair,0.3952,FALSE,5,1
dlbcl_ricover_1150,0.3966,TRUE,1,1
dlbcl_ricover_181,0.4234,TRUE,1,1
dlbcl_ricover_473,0.446,TRUE,1,1
dfcidl001_dt,0.4492,TRUE,1,1
dlbcl_ls3809,0.4508,TRUE,1,1
dlbcl_ls3866,0.459,FALSE,5,1
dlbcl_ricover_575,0.4592,TRUE,1,1
dlbcl_ricover_120,0.4604,FALSE,4,1
dlbcl_ls1757,0.4744,TRUE,1,1
dlbcl_ricover_829,0.4838,TRUE,1,1
dlbcl_mc_f648_jkw,0.4918,TRUE,1,1
dlbcl_ricover_1144,0.5024,TRUE,1,1
dlbcl_ricover_478,0.509,FALSE,4,1
dlbcl_mc_f139_ad,0.513,TRUE,1,1
dlbcl_mc_f132_mlm,0.5284,TRUE,1,1
dlbcl_ls2978,0.5432,TRUE,1,1
dlbcl_mayo_dlbcl_5613,0.5568,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.5642,TRUE,1,1
dfcidl010_dt,0.5796,TRUE,1,1
dlbcl_ricover_694,0.614,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.6172,TRUE,1,1
dlbcl_ls378,0.62,TRUE,1,1
dlbcl_c_d_1128_nullpair,0.6234,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.7344,TRUE,1,1
dlbcl_ricover_290,0.7438,TRUE,1,1
dlbcl_c_d_1114_nullpair,0.7484,TRUE,1,1
dlbcl_ricover_320,0.2726,FALSE,3,2
dlbcl_ricover_978,0.2968,TRUE,2,2
dlbcl_ricover_111,0.3124,TRUE,2,2
dfcidl009_dt,0.3308,TRUE,2,2
dlbcl_c_d_1162_nullpair,0.3582,FALSE,4,2
dlbcl_mc_f927_jhs,0.3608,FALSE,1,2
dlbcl_mayo_dlbcl_234,0.3646,TRUE,2,2
dlbcl_ls2245,0.3798,TRUE,2,2
