"Sample" "maxVal" "correct" "predictedCluster" "trueCluster"
"dlbcl_c_d_1146_nullpair" "0.3524" "FALSE" "5" "1"
"dlbcl_ls2154" "0.3626" "FALSE" "5" "1"
"dlbcl_ricover_910" "0.3934" "FALSE" "2" "1"
"dlbcl_c_d_1112_nullpair" "0.3958" "TRUE" "1" "1"
"dlbcl_ricover_473" "0.4268" "FALSE" "4" "1"
"dlbcl_ricover_575" "0.4284" "TRUE" "1" "1"
"dlbcl_mc_f139_ad" "0.429" "TRUE" "1" "1"
"dlbcl_c_d_1106_nullpair" "0.449" "FALSE" "3" "1"
"dlbcl_ls3809" "0.4662" "TRUE" "1" "1"
"dlbcl_ls3866" "0.493" "TRUE" "1" "1"
"dfcidl004_dt" "0.5182" "TRUE" "1" "1"
"dlbcl_ls2595" "0.5364" "TRUE" "1" "1"
"dlbcl_c_d_1154_nullpair" "0.5494" "TRUE" "1" "1"
"dlbcl_ls2367" "0.599" "TRUE" "1" "1"
"dlbcl_bwh_dlbcl64" "0.6104" "FALSE" "5" "1"
"dlbcl_ricover_826" "0.627" "TRUE" "1" "1"
"dlbcl_ricover_181" "0.6378" "TRUE" "1" "1"
"dlbcl_c_d_1132_nullpair" "0.6422" "TRUE" "1" "1"
"dfcidl001_dt" "0.6442" "TRUE" "1" "1"
"dlbcl_ls2978" "0.6648" "TRUE" "1" "1"
"dlbcl_ricover_120" "0.6686" "TRUE" "1" "1"
"dlbcl_ricover_1144" "0.6848" "TRUE" "1" "1"
"dlbcl_ricover_829" "0.7198" "TRUE" "1" "1"
"dlbcl_ls1757" "0.7238" "TRUE" "1" "1"
"dlbcl_mc_f132_mlm" "0.727" "TRUE" "1" "1"
"dlbcl_c_d_1114_nullpair" "0.7462" "TRUE" "1" "1"
"dlbcl_mc_f648_jkw" "0.7604" "TRUE" "1" "1"
"dlbcl_ricover_1150" "0.763" "TRUE" "1" "1"
"dlbcl_c_d_1155_nullpair" "0.7714" "TRUE" "1" "1"
"dlbcl_c_d_1128_nullpair" "0.8606" "TRUE" "1" "1"
"dlbcl_ricover_290" "0.8632" "TRUE" "1" "1"
"dlbcl_ricover_865" "0.8664" "TRUE" "1" "1"
"dlbcl_ricover_478" "0.8684" "FALSE" "4" "1"
"dlbcl_ls378" "0.8928" "TRUE" "1" "1"
"dlbcl_mayo_dlbcl_5613" "0.9108" "TRUE" "1" "1"
"dlbcl_ricover_694" "0.9186" "TRUE" "1" "1"
"dfcidl010_dt" "0.9272" "TRUE" "1" "1"
"dlbcl_c_d_1123_nullpair" "0.9652" "TRUE" "1" "1"
"dlbcl_c_d_1130_nullpair" "0.9658" "TRUE" "1" "1"
"dlbcl_mayo_dlbcl_234" "0.3174" "TRUE" "2" "2"
"dlbcl_mc_f927_jhs" "0.358" "FALSE" "4" "2"
"dlbcl_ricover_197" "0.3662" "FALSE" "5" "2"
"dlbcl_mc_f362_mjb1" "0.379" "FALSE" "3" "2"
"dlbcl_ricover_978" "0.3808" "TRUE" "2" "2"
"dlbcl_ricover_577" "0.3962" "TRUE" "2" "2"
"dlbcl_ls762" "0.4068" "TRUE" "2" "2"
"dlbcl_mc_f815_bat" "0.4192" "TRUE" "2" "2"
"dlbcl_ls2245" "0.4418" "TRUE" "2" "2"
"dlbcl_c_d_1141_nullpair" "0.4574" "TRUE" "2" "2"
"dlbcl_ricover_208" "0.4866" "TRUE" "2" "2"
"dlbcl_c_d_1162_nullpair" "0.4868" "TRUE" "2" "2"
"dlbcl_c_d_1110_nullpair" "0.4938" "TRUE" "2" "2"
"dlbcl_ricover_440" "0.4978" "FALSE" "3" "2"
"dlbcl_ls4619" "0.5024" "TRUE" "2" "2"
"dlbcl_ls155" "0.511" "TRUE" "2" "2"
"dlbcl_ls4593" "0.5118" "TRUE" "2" "2"
"dlbcl_ls3615" "0.5158" "TRUE" "2" "2"
"dlbcl_ls2325" "0.576" "TRUE" "2" "2"
"dlbcl_ricover_384" "0.5804" "TRUE" "2" "2"
"dlbcl_ricover_269" "0.5808" "TRUE" "2" "2"
"dlbcl_ricover_463" "0.5986" "TRUE" "2" "2"
"dfcidl009_dt" "0.609" "TRUE" "2" "2"
"dlbcl_ricover_111" "0.6132" "TRUE" "2" "2"
"dlbcl_ls2599" "0.6138" "TRUE" "2" "2"
"dlbcl_mc_f344_cjs" "0.6174" "TRUE" "2" "2"
"dlbcl_ricover_320" "0.6218" "TRUE" "2" "2"
"dlbcl_ricover_216" "0.6518" "FALSE" "4" "2"
"dlbcl_mc_f606_dmj" "0.6542" "TRUE" "2" "2"
"dlbcl_ricover_1046" "0.6792" "FALSE" "3" "2"
"dlbcl_ls1395" "0.7084" "TRUE" "2" "2"
"dlbcl_ls2305" "0.7184" "TRUE" "2" "2"
"dlbcl_ls1098" "0.7262" "TRUE" "2" "2"
"dlbcl_ls4616" "0.7404" "TRUE" "2" "2"
"dlbcl_ricover_469" "0.7602" "TRUE" "2" "2"
"dlbcl_ls843" "0.863" "TRUE" "2" "2"
"dlbcl_ls297" "0.8834" "TRUE" "2" "2"
"dlbcl_c_d_1113_nullpair" "0.8932" "TRUE" "2" "2"
"dlbcl_ls1620" "0.9206" "TRUE" "2" "2"
"dlbcl_mc_f358_wds" "0.9326" "TRUE" "2" "2"
"dlbcl_c_d_1127_nullpair" "0.9592" "TRUE" "2" "2"
"dlbcl_ls4054" "0.299" "FALSE" "1" "3"
"dlbcl_mc_f210_gwc" "0.3252" "FALSE" "5" "3"
"dlbcl_ricover_787" "0.3768" "FALSE" "5" "3"
