Sample,maxVal,correct,predictedCluster,trueCluster
dlbcl_ls2154,0.2716,TRUE,1,1
dlbcl_c_d_1112_nullpair,0.321,TRUE,1,1
dlbcl_ricover_473,0.3516,TRUE,1,1
dlbcl_ricover_910,0.3764,FALSE,2,1
dlbcl_c_d_1146_nullpair,0.3898,FALSE,5,1
dlbcl_ricover_575,0.4224,FALSE,2,1
dlbcl_ls3866,0.4226,FALSE,5,1
dlbcl_c_d_1154_nullpair,0.4756,TRUE,1,1
dlbcl_mc_f139_ad,0.4898,TRUE,1,1
dlbcl_ricover_181,0.498,TRUE,1,1
dlbcl_bwh_dlbcl64,0.501,FALSE,5,1
dlbcl_c_d_1106_nullpair,0.5194,FALSE,3,1
dlbcl_ls2595,0.5472,TRUE,1,1
dfcidl004_dt,0.565,TRUE,1,1
dlbcl_ls2367,0.5792,TRUE,1,1
dlbcl_ls3809,0.5912,TRUE,1,1
dlbcl_ls1757,0.6068,TRUE,1,1
dlbcl_ricover_826,0.6072,TRUE,1,1
dfcidl001_dt,0.6272,TRUE,1,1
dlbcl_ricover_1150,0.6392,TRUE,1,1
dlbcl_c_d_1132_nullpair,0.6674,TRUE,1,1
dlbcl_ricover_1144,0.6984,TRUE,1,1
dlbcl_mc_f648_jkw,0.7132,TRUE,1,1
dlbcl_c_d_1155_nullpair,0.7274,TRUE,1,1
dlbcl_mc_f132_mlm,0.744,TRUE,1,1
dlbcl_ls2978,0.7496,TRUE,1,1
dlbcl_c_d_1114_nullpair,0.7952,TRUE,1,1
dlbcl_ricover_865,0.8064,TRUE,1,1
dlbcl_ricover_120,0.8194,TRUE,1,1
dlbcl_ricover_829,0.8342,TRUE,1,1
dlbcl_ricover_290,0.8504,TRUE,1,1
dlbcl_ricover_478,0.8756,FALSE,4,1
dlbcl_ls378,0.8784,TRUE,1,1
dlbcl_c_d_1128_nullpair,0.913,TRUE,1,1
dlbcl_mayo_dlbcl_5613,0.9188,TRUE,1,1
dlbcl_ricover_694,0.9402,TRUE,1,1
dlbcl_c_d_1123_nullpair,0.9538,TRUE,1,1
dlbcl_c_d_1130_nullpair,0.9606,TRUE,1,1
dfcidl010_dt,0.966,TRUE,1,1
dlbcl_mc_f927_jhs,0.3072,TRUE,2,2
dlbcl_ricover_978,0.3158,TRUE,2,2
dlbcl_ricover_197,0.3368,FALSE,5,2
dlbcl_mayo_dlbcl_234,0.3542,TRUE,2,2
dlbcl_mc_f362_mjb1,0.3586,FALSE,3,2
dlbcl_ls2245,0.3686,TRUE,2,2
dlbcl_ricover_216,0.3816,FALSE,4,2
dlbcl_ls762,0.4032,TRUE,2,2
dlbcl_c_d_1141_nullpair,0.441,TRUE,2,2
dfcidl009_dt,0.4476,TRUE,2,2
dlbcl_ricover_577,0.4504,FALSE,4,2
dlbcl_ls3615,0.47,TRUE,2,2
dlbcl_mc_f606_dmj,0.4798,TRUE,2,2
dlbcl_mc_f815_bat,0.486,TRUE,2,2
dlbcl_ricover_320,0.4984,FALSE,3,2
dlbcl_ricover_384,0.51,TRUE,2,2
dlbcl_ls2325,0.515,TRUE,2,2
dlbcl_ricover_111,0.527,TRUE,2,2
dlbcl_ls155,0.5298,FALSE,5,2
dlbcl_ls4593,0.5458,TRUE,2,2
dlbcl_ls2599,0.5582,TRUE,2,2
dlbcl_mc_f344_cjs,0.5736,TRUE,2,2
dlbcl_ricover_208,0.5754,FALSE,3,2
dlbcl_ls4619,0.5844,TRUE,2,2
dlbcl_c_d_1162_nullpair,0.59,TRUE,2,2
dlbcl_ricover_440,0.5956,FALSE,3,2
dlbcl_ls1098,0.5958,TRUE,2,2
dlbcl_c_d_1110_nullpair,0.616,TRUE,2,2
dlbcl_ls1395,0.6164,TRUE,2,2
dlbcl_ricover_269,0.6206,TRUE,2,2
dlbcl_ls2305,0.6302,TRUE,2,2
dlbcl_ricover_469,0.6648,TRUE,2,2
dlbcl_ricover_1046,0.686,FALSE,3,2
dlbcl_ls4616,0.8108,TRUE,2,2
dlbcl_ricover_463,0.8236,TRUE,2,2
dlbcl_ls297,0.8344,TRUE,2,2
dlbcl_c_d_1113_nullpair,0.8594,TRUE,2,2
dlbcl_ls843,0.863,TRUE,2,2
dlbcl_mc_f358_wds,0.886,TRUE,2,2
dlbcl_ls1620,0.913,TRUE,2,2
